x,a1,a2
0,-0.06464918855744331,0.14100765097439907
1,0.11221575934647542,0.07827801073023626
2,0.1310657926082288,-0.016203534431207946
3,-0.029481419701480733,-0.09861428286230514
4,-0.15026578370125832,-0.14913748715309447
5,-0.06561526050069755,-0.14135455368747438
6,0.10967272978366749,-0.07952405193078763
7,0.13204134210211488,0.016192870918806786
8,-0.02816941841503279,0.09858274487117673
9,-0.15144254706579596,0.15090998588254845
10,-0.0645965463788262,0.14192356879564713
11,0.10825024908343282,0.07903402725181492
12,0.13251517335100452,-0.013707744027875116
13,-0.030225732372833217,-0.09788474524981315
14,-0.1492090981596482,-0.1492819758692651
15,-0.06442937233339294,-0.14151237914745057
16,0.1117167740246121,-0.07860330978239777
17,0.13372157711073354,0.016875716387448846
18,-0.02747436222992827,0.09792037501953095
19,-0.15199676282083752,0.14818915721623832
20,-0.06509807883762665,0.13978698162856934
21,0.1115414655228077,0.0778155965261758
22,0.1317528627280062,-0.012724586568913373
23,-0.030857699158267218,-0.09872284339992894
24,-0.1520498859775124,-0.1467043956380594
25,-0.06317640538141367,-0.13825800736378405
26,0.11324034200665932,-0.07780890367551015
27,0.133523636928863,0.014634734218387992
28,-0.02909558442528372,0.10051460736600742
29,-0.1516612537491839,0.1501193034250375
30,-0.06244995201494403,0.14045865428715448
31,0.11006688000462626,0.07591516292037594
32,0.13332730417120592,-0.0119855910351232
33,-0.02879717280516537,-0.10112476046492895
34,-0.15014219936238796,-0.14889772068484786
35,-0.0646879249922121,-0.14190513176008873
36,0.11058185279680438,-0.07862637963552317
37,0.1336057935189315,0.012496172039276554
38,-0.03018851766187963,0.10089081673619912
39,-0.15125422479158107,0.14613183614604436
40,-0.06467724147665642,0.13764325918937337
41,0.10808448998621004,0.08149032855670767
42,0.13423468662602006,-0.009199744849024503
43,-0.027203181247001475,-0.09994198675462165
44,-0.15276411107901458,-0.14729380563310512
45,-0.0659044819973712,-0.14148023757375405
46,0.11282955266676943,-0.07950543257840842
47,0.13400270513397217,0.011999253315511119
48,-0.02849780296635362,0.09919653495127387
49,-0.151238248407873,0.14900117385726344
