x,V1,V2
0,-0.20955409264551436,0.07949416382522936
1,-0.15049489276350858,0.16296827073858788
2,-0.04940415474340798,0.21336275530545934
3,0.04811563220655779,0.21594439490659545
4,0.12398874965154212,0.16761311612754518
5,0.15344341099528142,0.09095590768539073
6,0.13674769872114195,0.00887453186004942
7,0.08720099470210084,-0.056373575133967554
8,0.026714183371570714,-0.08926031559494428
9,-0.016363463772425764,-0.08585223165900786
10,-0.025342713612166282,-0.05990903110868802
11,0.0028793005229545074,-0.030423884856926795
12,0.0506571269550875,-0.017807131674631098
13,0.09374494959413653,-0.031116167147558247
14,0.10641671988790716,-0.06658774219319305
15,0.07886967934214338,-0.1091641818851029
16,0.007799739577463468,-0.13990962994704853
17,-0.08402962000973163,-0.13731594185100837
18,-0.17005845157719887,-0.09553156763570664
19,-0.21615708499296538,-0.01414717338125121
20,-0.2094914511124037,0.07915289100085159
21,-0.14911840699205076,0.16342609641759218
22,-0.05328644064802093,0.2133373307339484
23,0.04851346716042011,0.2149998042274557
24,0.1257706737093981,0.16874733875967518
25,0.15698950261698774,0.09136798186581634
26,0.13771381930243012,0.00686224396817802
27,0.08549869027048004,-0.05698350078698545
28,0.025727390838180778,-0.08989732988087237
29,-0.016991927532976295,-0.08602095973661905
30,-0.023562913992909135,-0.06069611316129241
31,0.0048457013711266615,-0.03302491736895891
32,0.051242353080966474,-0.017442433102115348
33,0.09350636345097145,-0.031704997890140175
34,0.10886387916014766,-0.06672208975803043
35,0.07720983969299551,-0.10888406617450037
36,0.005958608251055532,-0.13822964315325742
37,-0.08304371412184139,-0.13715663173927803
38,-0.16920590087189763,-0.0950710056077541
39,-0.21684331130970028,-0.014904397840922474
