x,y1,y2,y3,y4
1,43.942911253640915,43.942911253640915,43.942911253640915,43.942911253640915
2,22.25442355543718,25.965165736512184,35.0957667853939,5.208412920259778
3,10.40040054277231,14.631676924077913,27.8077521801331,0.06991759586243484
4,4.623160202579736,7.965020492330555,21.86598994199453,1.2829121050061575e-05
5,2.0086638500351084,4.240161716051339,17.077751670248695,5.169196025606121e-13
6,0.8693202431525026,2.2278748514770363,13.260760126801037,1.046685425849385e-13
7,0.38084291707575335,1.1621193717865543,10.247011660368415,5.132497522226231e-14
8,0.17182438806920908,0.6038405533967152,7.886803518769864,1.1085198851543203e-13
9,0.0814222923469305,0.3131149092994177,6.050869835224221,9.410297772924145e-14
10,0.04113974026310826,0.16218853834398436,4.630569300547614,1.1084865267889742e-13
11,0.022183788752203483,0.08396431059759546,3.536611806517095,9.410508981692028e-14
12,0.012593404091998937,0.04345540747054638,2.6969198579999056,1.0247454744186136e-13
13,0.007390467332257822,0.022486813619797857,2.054132484151529,9.410297772924145e-14
14,0.004418956772989651,0.011635320614071184,1.5631052507832466,1.0247480304303484e-13
15,0.0026679929037886773,0.006020206212153089,1.1886132539731886,1.046685425849385e-13
16,0.0016186308992390522,0.003114837282433073,0.9033533528329128,1.0247508871418015e-13
17,0.000984311085340981,0.0016115904887968177,0.6862701340292776,1.046685425849385e-13
18,0.0005992512251174887,0.0008338186657308633,0.5211893819805108,1.0247454744186136e-13
19,0.00036502382063547214,0.0004314070930774169,0.3957233752133281,1.0468062350816436e-13
20,0.00022240583269416333,0.00022320416969099328,0.3004059159894959,1.0247524282591469e-13
